V2,V3,value
Lolland,Ballerup,41
Silkeborg,Ballerup,40
Fredericia,Ballerup,39
Esbjerg,Ballerup,37
Frederikshavn,Ballerup,36
Haderslev,Ballerup,35
Herning,Ballerup,34
Horsens,Ballerup,32
Bornholm,Ballerup,30
Brønderslev,Ballerup,28
Faaborg-Midtfyn,Ballerup,26
Aabenraa,Ballerup,24
Svendborg,Ballerup,22
Skive,Ballerup,21
Syddjurs,Ballerup,21
Sønderborg,Ballerup,21
Middelfart,Ballerup,20
Jammerbugt,Ballerup,19
Kerteminde,Ballerup,19
Varde,Ballerup,19
Mariagerfjord,Ballerup,18
Nyborg,Ballerup,18
Favrskov,Ballerup,17
Vejen,Ballerup,17
Assens,Ballerup,16
Rebild,Ballerup,16
Nordfyns,Ballerup,15
Ikast-Brande,Ballerup,13
Vesthimmerlands,Ballerup,12
Hedensted,Ballerup,11
Odder,Ballerup,10
Billund,Ballerup,7
Norddjurs,Ballerup,7
Ringkøbing-Skjern,Ballerup,6
Morsø,Ballerup,5
Tønder,Ballerup,5
Thisted,Ballerup,4
Struer,Ballerup,3
Langeland,Ballerup,2
Lemvig,Ballerup,2
Samsø,Ballerup,2
Ærø,Ballerup,1
Christiansø,Ballerup,0
Fanø,Ballerup,0
Læsø,Ballerup,0
Billund,Billund,9530
Vejle,Billund,2765
Varde,Billund,1109
Vejen,Billund,631
Kolding,Billund,594
Esbjerg,Billund,440
Aarhus,Billund,431
Herning,Billund,289
Ikast-Brande,Billund,249
Ringkøbing-Skjern,Billund,240
Horsens,Billund,226
Hedensted,Billund,202
Fredericia,Billund,141
Odense,Billund,120
Silkeborg,Billund,116
Skanderborg,Billund,81
Middelfart,Billund,71
Haderslev,Billund,64
København,Billund,49
Viborg,Billund,44
Holstebro,Billund,34
Aalborg,Billund,27
Assens,Billund,24
Tønder,Billund,23
Nordfyns,Billund,20
Aabenraa,Billund,19
Randers,Billund,18
Favrskov,Billund,17
Sønderborg,Billund,12
Nyborg,Billund,11
Syddjurs,Billund,11
Kerteminde,Billund,10
Odder,Billund,10
Frederiksberg,Billund,9
Svendborg,Billund,9
Fanø,Billund,8
Gentofte,Billund,8
Struer,Billund,8
Køge,Billund,7
Mariagerfjord,Billund,7
Faaborg-Midtfyn,Billund,6
Vesthimmerlands,Billund,6
Frederikshavn,Billund,5
Holbæk,Billund,5
Roskilde,Billund,5
Skive,Billund,5
Slagelse,Billund,5
Greve,Billund,4
Lemvig,Billund,4
Rudersdal,Billund,4
Gladsaxe,Billund,3
Helsingør,Billund,3
Hillerød,Billund,3
Morsø,Billund,3
Sorø,Billund,3
Thisted,Billund,3
Tårnby,Billund,3
Ballerup,Billund,2
Brøndby,Billund,2
Brønderslev,Billund,2
Glostrup,Billund,2
Hjørring,Billund,2
Hvidovre,Billund,2
Høje-Taastrup,Billund,2
Lolland,Billund,2
Norddjurs,Billund,2
Bornholm,Billund,1
Egedal,Billund,1
Furesø,Billund,1
Gribskov,Billund,1
Herlev,Billund,1
Hørsholm,Billund,1
Jammerbugt,Billund,1
Kalundborg,Billund,1
Langeland,Billund,1
Lyngby-Taarbæk,Billund,1
Næstved,Billund,1
Odsherred,Billund,1
Rebild,Billund,1
Ringsted,Billund,1
Rødovre,Billund,1
Stevns,Billund,1
Albertslund,Billund,0
Allerød,Billund,0
Christiansø,Billund,0
Dragør,Billund,0
Faxe,Billund,0
Fredensborg,Billund,0
Frederikssund,Billund,0
Guldborgsund,Billund,0
Halsnæs,Billund,0
Ishøj,Billund,0
